date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,TotalConfCases,TotalCured,TotalDeaths,,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
12.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,9,NA,,,,0.000326705,,,,,,,,,
13.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,10,NA,,,,0.000389533,,,,,,,,,
14.03.20,SZ,159165,175,17.70%,28172,274,0.001721484,,13,12,,,,0.000471209,7.53935E-05,,,,,,,,
06.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,1,NA,,,,3.617E-06,,,,,,,,,
07.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,1,NA,,,,7.23401E-06,,,,,,,,,
08.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,1,NA,,,,1.0851E-05,,,,,,,,,
09.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,2,NA,,,,1.8085E-05,,,,,,,,,
10.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,3,NA,,,,2.8936E-05,,,,,,,,,
11.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,4,NA,,,,4.3404E-05,,,,,,,,,
12.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,5,NA,,,,6.1489E-05,,,,,,,,,
13.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,5,NA,,,,7.95741E-05,,,,,,,,,
14.03.20,TG,276472,279,17.60%,48659,570,0.002061692,,5,4,,,,9.76591E-05,1.4468E-05,,,,,,,,
06.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,37,NA,,,,0.000104714,,,,,,,,,
07.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,43,NA,,,,0.000226409,,,,,,,,,
08.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,58,NA,,,,0.000390555,,,,,,,,,
09.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,67,NA,,,,0.000580173,,,,,,,,,
10.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,91,NA,,,,0.000837713,,,,,,,,,
11.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,131,NA,,,,0.001208458,,,,,,,,,
12.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,170,NA,,,,0.001689576,,,,,,,,,
13.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,218,NA,,,,0.002306541,,,,,,,,,
14.03.20,TI,353343,126,22.60%,79856,1338,0.003786689,,262,250,,,,0.00304803,0.000707528,,,,,,,,
06.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
07.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
08.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
09.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
10.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
11.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
12.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
13.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,NA,,,,0,,,,,,,,,
14.03.20,UR,36433,34,20.40%,7432,63,0.001729202,,0,0,,,,0,0,,,,,,,,
06.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,23,NA,,,,2.87808E-05,,,,,,,,,
07.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,30,NA,,,,6.63209E-05,,,,,,,,,
08.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,40,NA,,,,0.000116374,,,,,,,,,
09.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,51,NA,,,,0.000180193,,,,,,,,,
10.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,77,NA,,,,0.000276546,,,,,,,,,
11.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,108,NA,,,,0.00041169,,,,,,,,,
12.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,156,NA,,,,0.000606899,,,,,,,,,
13.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,222,NA,,,,0.000884696,,,,,,,,,
14.03.20,VD,799145,249,16.40%,131060,2268,0.002838033,,273,254,,,,0.001226311,0.00031784,,,,,,,,
06.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,4,NA,,,,1.16294E-05,,,,,,,,,
07.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,5,NA,,,,2.61662E-05,,,,,,,,,
08.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,5,NA,,,,4.0703E-05,,,,,,,,,
09.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,7,NA,,,,6.10545E-05,,,,,,,,,
10.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,15,NA,,,,0.000104665,,,,,,,,,
11.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,18,NA,,,,0.000156997,,,,,,,,,
12.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,23,NA,,,,0.000223866,,,,,,,,,
13.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,29,NA,,,,0.00030818,,,,,,,,,
14.03.20,VS,343955,66,19.60%,67415,834,0.002424736,,47,43,,,,0.000444826,0.000125016,,,,,,,,
06.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,5,NA,,,,3.94207E-05,,,,,,,,,
07.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,6,NA,,,,8.67255E-05,,,,,,,,,
08.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,7,NA,,,,0.000141914,,,,,,,,,
09.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,7,NA,,,,0.000197103,,,,,,,,,
10.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,7,NA,,,,0.000252292,,,,,,,,,
11.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,7,NA,,,,0.000307481,,,,,,,,,
12.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,7,NA,,,,0.00036267,,,,,,,,,
13.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,7,NA,,,,0.000417859,,,,,,,,,
14.03.20,ZG,126837,531,17.00%,21562,206,0.001624132,,9,8,,,,0.000488816,6.30731E-05,,,,,,,,
27.02.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,1,1,,,,6.57476E-07,6.57476E-07,,,,,,,,
28.02.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,2,2,,,,1.97243E-06,1.31495E-06,,,,,,,,
02.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,2,2,,,,3.28738E-06,1.31495E-06,,,,,,,,
03.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,400,9,9,,,,9.20466E-06,5.91728E-06,,,,,,,,
05.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,19,19,,,,2.16967E-05,1.2492E-05,,,,,,,,
06.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,26,26,,,,3.87911E-05,1.70944E-05,,,,,,,,
07.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,30,30,,,,5.85154E-05,1.97243E-05,,,,,,,,
08.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,37,37,,,,8.2842E-05,2.43266E-05,,,,,,,,
09.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,855,40,40,,,,0.000109141,2.6299E-05,,,,,,,,
10.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,49,49,,,,0.000141357,3.22163E-05,,,,,,,,
11.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,59,59,1,,,0.000180148,3.87911E-05,,,,,,,,
12.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,92,92,7,,,0.000240636,6.04878E-05,,,,,,,,
13.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,140,140,11,,,0.000332683,9.20466E-05,,,,,,,,
16.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,270,270,,1,,,0.000177519,,,,,,,,
17.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,294,294,,,,,0.000193298,,,,,,,,
18.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,424,424,,,,,0.00027877,,,,,,,,
19.03.20,ZH,1520968,880,17.00%,258565,4472,0.002940233,,526,526,,3,,,,,,,,,,,
